iter	Logloss
0	0.5980928947
1	0.5203792922
2	0.4630672846
3	0.4175209516
4	0.3815055064
5	0.3557685181
6	0.3347307432
7	0.3182920247
8	0.3046747946
9	0.2937889167
10	0.2849750135
11	0.2771627127
12	0.2719743537
13	0.2664784684
14	0.2622804179
15	0.2594758469
16	0.2561955275
17	0.2538503022
18	0.2517163958
19	0.2497990404
20	0.2480729058
21	0.246800331
22	0.2455614842
23	0.2444600229
24	0.2436306183
25	0.2429055701
26	0.2419049356
27	0.2413092883
28	0.2406075293
29	0.2401075567
30	0.2395037691
31	0.2390016229
32	0.2383842672
33	0.2380317736
34	0.2377275063
35	0.237335741
36	0.2370446633
37	0.236747052
38	0.2365026606
39	0.2362329017
40	0.2359106853
41	0.2356746786
42	0.2355143209
43	0.2351923517
44	0.235023464
45	0.2347242605
46	0.2345611873
47	0.2344098419
48	0.2342242856
49	0.234072594
50	0.2339454052
51	0.2338201618
52	0.2336510623
53	0.2335236917
54	0.2333474891
55	0.2332281241
56	0.2331284282
57	0.2330113268
58	0.2328921006
59	0.232821125
60	0.2327616589
61	0.2326764811
62	0.2326103471
63	0.2324717818
64	0.2324186739
65	0.2323382159
66	0.2322767255
67	0.2322128072
68	0.2321710537
69	0.2321120763
70	0.232053057
71	0.2319712168
72	0.2318681234
73	0.2318124382
74	0.2317579904
75	0.2317050774
76	0.2316002369
77	0.2315428517
78	0.2314483665
79	0.2313901466
80	0.2313347057
81	0.2313035549
82	0.231245466
83	0.2311758069
84	0.23113719
85	0.2310856199
86	0.2310022695
87	0.2309716909
88	0.2309405717
89	0.2308958147
90	0.2308441925
91	0.2307968118
92	0.2307545825
93	0.2306887809
94	0.2306551175
95	0.2306099918
96	0.2305715142
97	0.2305204343
98	0.2304759621
99	0.2304453343
100	0.2304189753
101	0.2303712878
102	0.2303127307
103	0.2302757358
104	0.2302391153
105	0.2301830107
106	0.2301534746
107	0.2301334963
108	0.2301053465
109	0.2300758683
110	0.2300386522
111	0.230003033
112	0.2299791219
113	0.2299359937
114	0.2298914746
115	0.2298825767
116	0.2298562044
117	0.2298160895
118	0.2297901917
119	0.2297690615
120	0.2297500002
121	0.2297117327
122	0.2296783631
123	0.2296522105
124	0.229623779
125	0.2295863777
126	0.2295536293
127	0.2295271468
128	0.2294874657
129	0.2294627132
130	0.2294381555
131	0.2294203464
132	0.2293979917
133	0.2293591136
134	0.2293323405
135	0.2293040099
136	0.2292799678
137	0.2292436056
138	0.2292407873
139	0.2292141133
140	0.2291799602
141	0.2291379718
142	0.2291123927
143	0.229096332
144	0.2290814991
145	0.2290305408
146	0.2290061111
