iter	Passed	Remaining
0	174	174436
1	216	107968
2	249	82757
3	281	70189
4	309	61539
5	339	56204
6	366	51967
7	397	49259
8	427	47055
9	451	44707
10	481	43253
11	510	42001
12	537	40813
13	561	39540
14	590	38792
15	618	38039
16	645	37341
17	673	36748
18	700	36170
19	725	35548
20	750	34974
21	779	34640
22	818	34751
23	849	34554
24	879	34292
25	904	33896
26	933	33649
27	962	33424
28	997	33405
29	1036	33524
30	1087	33991
31	1117	33816
32	1149	33684
33	1179	33522
34	1208	33333
35	1240	33226
36	1271	33087
37	1298	32872
38	1325	32656
39	1353	32489
40	1382	32329
41	1408	32135
42	1433	31899
43	1459	31720
44	1485	31526
45	1509	31313
46	1535	31136
47	1565	31047
48	1596	30994
49	1622	30835
50	1645	30620
51	1671	30465
52	1694	30272
53	1718	30109
54	1745	29996
55	1770	29840
56	1791	29638
57	1814	29463
58	1837	29313
59	1862	29171
60	1891	29123
61	1926	29148
62	1954	29063
63	1978	28932
64	2000	28770
65	2026	28671
66	2050	28560
67	2076	28458
68	2103	28378
69	2128	28280
70	2156	28218
71	2181	28121
72	2208	28044
73	2237	27993
74	2264	27933
75	2297	27929
76	2327	27905
77	2359	27887
78	2388	27848
79	2425	27891
80	2453	27842
81	2483	27799
82	2509	27721
83	2539	27692
84	2570	27672
85	2598	27619
86	2625	27554
87	2650	27464
88	2678	27417
89	2711	27419
90	2745	27422
91	2780	27443
92	2812	27426
93	2839	27365
94	2868	27321
95	2894	27254
96	2919	27176
97	2945	27108
98	2994	27252
99	3035	27317
100	3073	27360
101	3114	27421
102	3153	27466
103	3185	27445
104	3218	27435
105	3250	27413
106	3279	27366
107	3304	27294
108	3334	27253
109	3362	27208
110	3390	27152
111	3416	27089
112	3452	27103
113	3710	28837
114	3871	29797
115	4006	30534
116	4377	33039
117	4532	33878
118	4694	34752
119	4880	35786
120	5158	37473
121	5537	39854
122	5984	42673
123	6456	45612
124	6622	46359
125	6819	47301
126	7052	48479
127	7407	50465
128	7649	51646
129	7870	52671
130	8113	53821
131	8410	55305
132	8445	55053
133	8481	54814
134	8518	54582
135	8550	54320
136	8579	54045
137	8606	53759
138	8634	53485
139	8673	53280
140	8697	52985
141	8720	52694
142	8748	52427
143	8773	52151
144	8804	51914
145	8835	51681
146	8879	51523
147	8913	51313
148	8949	51111
149	8984	50911
150	9016	50697
151	9065	50576
152	9103	50394
153	9141	50218
154	9178	50035
155	9213	49849
156	9253	49683
157	9290	49509
158	9318	49290
159	9343	49052
160	9379	48879
161	9421	48737
162	9459	48576
163	9504	48450
164	9545	48305
165	9588	48173
166	9625	48012
167	9665	47868
168	9689	47647
169	9721	47465
170	9755	47294
171	9790	47130
172	9823	46961
173	9860	46807
174	9891	46629
175	9919	46440
176	9949	46261
177	9980	46088
178	10008	45904
179	10040	45742
180	10073	45582
181	10110	45440
182	10148	45307
183	10174	45120
184	10210	44980
185	10240	44814
186	10270	44650
187	10287	44433
188	10321	44289
189	10362	44176
190	10402	44059
191	10441	43942
192	10478	43812
193	10509	43663
194	10542	43522
195	10572	43367
196	10597	43197
197	10634	43074
198	10669	42945
199	10702	42811
200	10736	42678
201	10767	42537
202	10799	42398
203	10832	42266
204	10866	42140
205	10901	42016
206	10923	41848
207	10954	41710
208	10982	41564
209	11015	41439
210	11040	41283
211	11068	41139
212	11100	41015
213	11134	40895
214	11162	40754
215	11204	40668
216	11249	40591
217	11287	40491
218	11323	40382
219	11357	40268
220	11376	40101
221	11409	39983
222	11437	39852
223	11465	39718
224	11495	39594
225	11522	39462
226	11550	39331
227	11576	39196
228	11608	39083
229	11632	38944
230	11658	38810
231	11686	38686
232	11715	38566
233	11746	38452
234	11777	38338
235	11807	38223
236	11834	38101
237	11867	37996
238	11898	37884
239	11926	37766
240	11953	37646
241	11987	37546
242	12030	37476
243	12061	37369
244	12092	37265
245	12122	37155
246	12148	37036
247	12177	36926
248	12206	36816
249	12229	36687
250	12253	36564
251	12283	36460
252	12309	36344
253	12337	36236
254	12368	36136
255	12401	36042
256	12437	35958
257	12472	35870
258	12507	35784
259	12540	35693
260	12576	35608
261	12609	35519
262	12639	35419
263	12677	35342
264	12722	35287
265	12763	35218
266	12823	35203
267	12866	35141
268	12910	35082
269	12945	34999
270	12979	34914
271	13016	34837
272	13051	34755
273	13089	34681
274	13129	34614
275	13164	34533
276	13201	34458
277	13236	34377
278	13271	34295
279	13300	34202
280	13339	34133
281	13371	34045
282	13404	33960
283	13441	33888
284	13470	33793
285	13499	33702
286	13528	33610
287	13560	33523
288	13591	33438
289	13615	33333
290	13644	33242
291	13676	33161
292	13709	33081
293	13739	32994
294	13772	32914
295	13802	32827
296	13831	32740
297	13860	32651
298	13889	32564
299	13917	32473
300	13946	32386
301	13974	32299
302	14004	32214
303	14031	32124
304	14058	32035
305	14084	31942
306	14110	31851
307	14138	31765
308	14169	31686
309	14207	31623
310	14244	31557
311	14286	31502
312	14340	31476
313	14376	31408
314	14407	31330
315	14441	31258
316	14478	31194
317	14512	31124
318	14543	31047
319	14571	30965
320	14603	30890
321	14635	30815
322	14666	30740
323	14692	30654
324	14721	30575
325	14751	30498
326	14779	30417
327	14811	30345
328	14836	30260
329	14867	30184
330	14900	30115
331	14932	30045
332	14963	29971
333	14994	29899
334	15027	29830
335	15060	29762
336	15089	29686
337	15117	29608
338	15146	29533
339	15176	29459
340	15208	29390
341	15235	29313
342	15262	29234
343	15290	29158
344	15321	29088
345	15345	29004
346	15369	28922
347	15392	28839
348	15419	28761
349	15442	28678
350	15475	28614
351	15501	28536
352	15526	28458
353	15554	28384
354	15579	28306
355	15605	28230
356	15631	28154
357	15655	28074
358	15678	27994
359	15704	27918
360	15730	27844
361	15757	27770
362	15789	27707
363	15817	27636
364	15850	27575
365	15878	27505
366	15906	27436
367	15936	27368
368	15960	27293
369	15990	27227
370	16022	27165
371	16052	27099
372	16080	27030
373	16109	26964
374	16136	26893
375	16163	26824
376	16191	26756
377	16216	26683
378	16240	26610
379	16268	26543
380	16293	26470
381	16320	26402
382	16351	26342
383	16385	26285
384	16406	26207
385	16426	26129
386	16460	26073
387	16496	26019
388	16528	25961
389	16558	25898
390	16587	25836
391	16615	25771
392	16649	25715
393	16680	25655
394	16712	25598
395	16747	25544
396	16767	25467
397	16800	25412
398	16835	25358
399	16869	25304
400	16904	25250
401	16971	25245
402	17000	25184
403	17028	25121
404	17066	25073
405	17104	25024
406	17134	24964
407	17164	24904
408	17194	24845
409	17222	24783
410	17250	24722
411	17278	24659
412	17303	24593
413	17330	24531
414	17375	24493
415	17410	24441
416	17444	24388
417	17478	24335
418	17509	24279
419	17545	24230
420	17580	24178
421	17613	24124
422	17646	24071
423	17680	24019
424	17715	23968
425	17746	23912
426	17774	23851
427	17805	23795
428	17834	23738
429	17860	23676
430	17886	23613
431	17912	23552
432	17940	23493
433	17964	23427
434	17988	23364
435	18019	23310
436	18052	23257
437	18080	23199
438	18107	23140
439	18133	23078
440	18159	23019
441	18183	22956
442	18207	22893
443	18238	22839
444	18270	22787
445	18301	22733
446	18326	22672
447	18355	22616
448	18389	22567
449	18426	22521
450	18456	22467
451	18484	22410
452	18514	22356
453	18541	22298
454	18567	22240
455	18597	22186
456	18626	22132
457	18654	22075
458	18682	22020
459	18710	21964
460	18745	21917
461	18775	21864
462	18799	21803
463	18825	21746
464	18851	21689
465	18879	21634
466	18910	21582
467	18939	21529
468	18971	21479
469	18995	21420
470	19024	21366
471	19051	21312
472	19078	21256
473	19116	21214
474	19145	21160
475	19172	21105
476	19201	21052
477	19227	20997
478	19257	20946
479	19289	20897
480	19319	20845
481	19344	20789
482	19371	20735
483	19400	20683
484	19428	20630
485	19454	20574
486	19482	20523
487	19510	20470
488	19540	20420
489	19567	20366
490	19596	20314
491	19624	20262
492	19652	20210
493	19676	20154
494	19704	20102
495	19726	20045
496	19752	19990
497	19777	19936
498	19811	19890
499	19843	19843
500	19873	19794
501	19910	19752
502	19936	19698
503	19965	19648
504	19994	19598
505	20023	19548
506	20057	19503
507	20087	19454
508	20111	19400
509	20142	19352
510	20169	19300
511	20193	19247
512	20216	19191
513	20246	19143
514	20272	19091
515	20299	19040
516	20327	18990
517	20349	18935
518	20374	18882
519	20398	18829
520	20428	18781
521	20460	18736
522	20491	18689
523	20524	18644
524	20554	18596
525	20584	18549
526	20609	18497
527	20639	18450
528	20667	18401
529	20696	18353
530	20724	18304
531	20756	18259
532	20787	18213
533	20816	18166
534	20847	18120
535	20877	18072
536	20910	18028
537	20945	17986
538	20975	17940
539	21004	17892
540	21029	17841
541	21055	17792
542	21084	17745
543	21111	17696
544	21137	17647
545	21171	17604
546	21195	17553
547	21224	17506
548	21252	17458
549	21282	17412
550	21309	17364
551	21336	17316
552	21364	17269
553	21390	17220
554	21416	17171
555	21441	17122
556	21470	17076
557	21498	17029
558	21525	16981
559	21553	16934
560	21580	16887
561	21608	16840
562	21634	16792
563	21661	16745
564	21686	16696
565	21713	16649
566	21746	16606
567	21774	16561
568	21805	16516
569	21841	16476
570	21869	16431
571	21896	16384
572	21923	16337
573	21948	16289
574	21978	16244
575	22005	16198
576	22029	16149
577	22054	16102
578	22083	16057
579	22111	16011
580	22135	15963
581	22161	15916
582	22188	15870
583	22214	15824
584	22242	15778
585	22264	15729
586	22290	15683
587	22308	15631
588	22332	15583
589	22357	15536
590	22381	15488
591	22405	15441
592	22433	15397
593	22461	15352
594	22486	15306
595	22513	15261
596	22541	15216
597	22571	15173
598	22599	15128
599	22624	15082
600	22655	15040
601	22684	14997
602	22710	14951
603	22739	14908
604	22767	14864
605	22797	14821
606	22825	14778
607	22857	14737
608	22884	14692
609	22913	14649
610	22941	14605
611	22964	14559
612	22990	14514
613	23014	14468
614	23042	14424
615	23068	14380
616	23094	14335
617	23124	14293
618	23150	14249
619	23177	14205
620	23205	14162
621	23226	14115
622	23255	14072
623	23282	14029
624	23312	13987
625	23342	13945
626	23368	13901
627	23393	13857
628	23441	13826
629	23476	13788
630	23503	13744
631	23532	13702
632	23562	13660
633	23590	13618
634	23622	13578
635	23653	13537
636	23679	13494
637	23709	13452
638	23743	13414
639	23770	13370
640	23798	13328
641	23827	13286
642	23856	13245
643	23891	13207
644	23928	13169
645	23963	13131
646	23998	13093
647	24029	13053
648	24055	13010
649	24082	12967
650	24114	12927
651	24139	12884
652	24167	12842
653	24196	12801
654	24219	12756
655	24245	12714
656	24273	12672
657	24298	12629
658	24324	12586
659	24348	12543
660	24372	12499
661	24396	12456
662	24417	12411
663	24443	12368
664	24468	12326
665	24494	12284
666	24522	12242
667	24549	12201
668	24579	12161
669	24610	12121
670	24640	12081
671	24667	12039
672	24694	11998
673	24723	11958
674	24752	11917
675	24778	11876
676	24806	11835
677	24833	11794
678	24858	11751
679	24885	11710
680	24909	11668
681	24938	11628
682	24968	11588
683	24991	11545
684	25016	11503
685	25040	11461
686	25071	11422
687	25098	11381
688	25122	11339
689	25145	11297
690	25169	11255
691	25198	11215
692	25224	11174
693	25250	11133
694	25274	11091
695	25297	11049
696	25331	11012
697	25359	10972
698	25384	10930
699	25411	10890
700	25436	10849
701	25462	10808
702	25489	10768
703	25513	10727
704	25539	10686
705	25563	10645
706	25587	10604
707	25613	10563
708	25641	10524
709	25663	10482
710	25687	10441
711	25718	10402
712	25744	10362
713	25766	10321
714	25791	10280
715	25814	10239
716	25839	10198
717	25864	10158
718	25889	10118
719	25915	10078
720	25936	10036
721	25964	9997
722	25991	9958
723	26026	9921
724	26060	9884
725	26090	9846
726	26117	9807
727	26141	9767
728	26176	9730
729	26215	9696
730	26256	9662
731	26281	9622
732	26310	9583
733	26338	9545
734	26365	9505
735	26388	9465
736	26411	9424
737	26434	9384
738	26465	9347
739	26496	9309
740	26526	9271
741	26559	9234
742	26593	9198
743	26626	9161
744	26653	9123
745	26679	9084
746	26709	9046
747	26738	9008
748	26772	8971
749	26807	8935
750	26838	8898
751	26863	8859
752	26890	8820
753	26915	8781
754	26940	8742
755	26968	8704
756	26993	8664
757	27020	8626
758	27044	8587
759	27072	8549
760	27097	8510
761	27121	8470
762	27149	8433
763	27174	8394
764	27199	8355
765	27220	8315
766	27242	8275
767	27267	8237
768	27298	8200
769	27330	8163
770	27361	8126
771	27394	8090
772	27427	8054
773	27461	8018
774	27491	7981
775	27526	7945
776	27555	7908
777	27584	7871
778	27615	7834
779	27644	7797
780	27670	7759
781	27699	7721
782	27730	7685
783	27755	7646
784	27781	7608
785	27809	7571
786	27835	7533
787	27865	7496
788	27895	7459
789	27922	7422
790	27954	7386
791	27982	7348
792	28007	7310
793	28031	7272
794	28062	7236
795	28129	7209
796	28176	7176
797	28205	7139
798	28234	7102
799	28262	7065
800	28298	7030
801	28332	6994
802	28358	6957
803	28385	6919
804	28410	6882
805	28436	6844
806	28459	6806
807	28487	6769
808	28516	6732
809	28547	6696
810	28581	6660
811	28607	6623
812	28633	6586
813	28661	6549
814	28690	6512
815	28720	6476
816	28745	6438
817	28771	6401
818	28803	6365
819	28835	6329
820	28860	6292
821	28885	6254
822	28910	6217
823	28940	6181
824	28984	6148
825	29030	6115
826	29059	6079
827	29085	6041
828	29114	6005
829	29146	5969
830	29169	5932
831	29196	5895
832	29220	5858
833	29246	5821
834	29269	5783
835	29297	5747
836	29319	5709
837	29348	5673
838	29372	5636
839	29398	5599
840	29428	5563
841	29456	5527
842	29481	5490
843	29509	5454
844	29538	5418
845	29565	5381
846	29590	5345
847	29622	5309
848	29651	5273
849	29678	5237
850	29705	5201
851	29730	5164
852	29757	5128
853	29786	5092
854	29812	5055
855	29843	5020
856	29875	4985
857	29905	4949
858	29930	4912
859	29957	4876
860	29982	4840
861	30010	4804
862	30037	4768
863	30063	4732
864	30086	4695
865	30116	4660
866	30150	4625
867	30180	4589
868	30204	4553
869	30230	4517
870	30259	4481
871	30285	4445
872	30310	4409
873	30371	4378
874	30400	4342
875	30424	4306
876	30452	4270
877	30478	4235
878	30511	4200
879	30542	4164
880	30571	4129
881	30594	4093
882	30619	4057
883	30643	4021
884	30670	3985
885	30696	3949
886	30724	3914
887	30747	3878
888	30768	3841
889	30796	3806
890	30825	3771
891	30854	3735
892	30880	3700
893	30908	3664
894	30940	3629
895	30966	3594
896	30989	3558
897	31019	3523
898	31049	3488
899	31075	3452
900	31102	3417
901	31129	3382
902	31157	3346
903	31184	3311
904	31216	3276
905	31248	3242
906	31272	3206
907	31298	3171
908	31325	3135
909	31352	3100
910	31376	3065
911	31402	3030
912	31432	2995
913	31459	2960
914	31487	2925
915	31511	2889
916	31537	2854
917	31564	2819
918	31592	2784
919	31624	2749
920	31652	2715
921	31688	2680
922	31717	2646
923	31742	2610
924	31765	2575
925	31790	2540
926	31818	2505
927	31844	2470
928	31869	2435
929	31894	2400
930	31918	2365
931	31946	2330
932	31974	2296
933	31998	2261
934	32027	2226
935	32053	2191
936	32084	2157
937	32115	2122
938	32143	2088
939	32168	2053
940	32192	2018
941	32219	1983
942	32245	1949
943	32269	1914
944	32298	1879
945	32331	1845
946	32359	1811
947	32384	1776
948	32412	1741
949	32440	1707
950	32467	1672
951	32493	1638
952	32515	1603
953	32542	1569
954	32567	1534
955	32593	1500
956	32623	1465
957	32652	1431
958	32685	1397
959	32715	1363
960	32745	1328
961	32776	1294
962	32810	1260
963	32837	1226
964	32863	1191
965	32891	1157
966	32921	1123
967	32952	1089
968	32988	1055
969	33019	1021
970	33048	987
971	33088	953
972	33117	918
973	33142	884
974	33168	850
975	33201	816
976	33227	782
977	33254	748
978	33289	714
979	33314	679
980	33343	645
981	33371	611
982	33394	577
983	33419	543
984	33443	509
985	33470	475
986	33494	441
987	33520	407
988	33545	373
989	33569	339
990	33593	305
991	33618	271
992	33642	237
993	33667	203
994	33695	169
